Park Name,Address,City,Lat,Lon,Quadrant,Type Of Park,Acres,TurfAcres,Parking Lots,# of Parking Spaces,# of Handicap Spaces,# of Drinking Fountains,Restroom,RR Season,Picnic Area,Reservable,Picnic Shelter,Playground,# of Tennis Courts,# of Lighted Tennis Courts,# of Basketball Courts,# of Volleyball Courts,# of Softball Fields,# of Lighted Softball Fields,# of Little League Fields,# of Lighted LL Fields,# of Soccer Fields,Soccer Field Type,Trails,Trail Surface,Horseshoes,Swimming Pool,Pool Type,Water Body,Parcourse,Water Play Feature,Rentable Shelters,Other Ammenities
Shadow Mountain Sports Complex,3300 Sparks Blvd.,Sparks,39.561291,-119.72264,,Special Use,49.5,,Yes,,,,Yes,,0,,,0,,,0,0,4,,10,,,,,,,,,,,,,"multi-use fields, backstop, concessions,"
Shelly Park,2901 N. Truckee Lane,Sparks,39.555133,-119.733907,,Neighborhood,4.1,,Yes,,,,0,,Yes,,,Yes,2,2,1,0,0,0,0,0,,,Yes,,0,0,,,0,,,"canopy, benches,"
Sierra Rock Park,"17770 Sweet Gum Dr., Cold Springs",,39.691247,-119.974246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Knolls Park,"11300 W. Silver Knolls Blvd., Reno",,39.663115,-119.928712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Lake Park,8755 Red Baron Blvd,Reno,39.633951,-119.90154,NV,Neighborhood,10.5,1.4,Yes,55,3,1,Yes,Seasonal,0,0,Yes,Yes,0,0,2,0,0,0,1,0,1,Youth Practice,Yes,Paved,Yes,0,,,0,Yes,Yes,
Silverton Shores Park,2799 Silverton Way,,39.610977,-119.689225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Country Park,3290 Snake River Dr,Reno,39.546982,-119.850793,NW,Neighborhood,7,0.7,Yes,11,1,1,0,,0,0,0,Yes,0,0,0,1,0,0,0,0,0,,Yes,DG,Yes,0,,,0,0,,
Sky Ranch Park,"8900 La Posada Rd., Spanish Springs",,39.63766,-119.7111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Tavern,21130 Mt Rose Highway,Reno,39.336911,-119.872522,SW,Community,143.07,0,Yes,100,4,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,DG,0,0,,,0,0,,
Somersett Park - Northwest Trails,1900 Park Hollow Court,Reno,39.533366,-119.913294,NW,Neighborhood,5.11,2.5,Yes,11,2,1,Yes,Seasonal,0,0,Yes,Yes,0,0,0.5,0,0,0,0,0,0,,Yes,,0,0,,,0,0,,
South Valleys Regional Park,15650 Wedge Parkway,,39.402098,-119.75916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparks Boulevard Greenbelt,,Sparks,39.54394,-119.715108,,Greenbelt,14.2,,,,,,,,,,,,,,,,,,0,0,,,Yes,,,,,,,,,
